nome;id_spotify;generos;popularidade;seguidores;imagem;fonte
Arijit Singh;4YRxDV8wJFPHPTeXepOstw;hindi pop, bollywood, desi, bangla pop;90;165739069;https://i.scdn.co/image/ab6761610000e5eb5ba2d75eb08a2d672f9b69b7;GENRE_1
Taylor Swift;06HL4z0CvFAxyc27GXpf02;pop;100;146601270;https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e;GENRE_1
Ed Sheeran;6eUKZXaKkcviH0Ku9w2n3V;soft pop;89;123163279;https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec;GENRE_1
Billie Eilish;6qqNVTkY8uBg9cP3Jd7DAH;pop;92;119521349;https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da;GENRE_1
The Weeknd;1Xyo4u8uXC1ZmMpatF05PJ;pop;95;113983998;https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae;GENRE_2
Ariana Grande;66CXWjxzNUsdJxJ2JdwvnR;pop;92;107777870;https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5;GENRE_1
Eminem;7dGJo4pcD2V6oG8kP0tJRR;rap, hip hop;89;105082092;https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b;LETTER_1
Drake;3TVXtAsR1Inumwj472S9r4;rap;96;103800341;https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9;LETTER_1
Bad Bunny;4q3ewBCX7sLwd24euuV69X;reggaeton, trap latino, urbano latino, latin;96;103484415;https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13;GENRE_2
Justin Bieber;1uNFoZAHBGtllmzznpCI3s;pop;92;85355386;https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034;GENRE_1
BTS;3Nrfpe0tUJi4K4DXYWgMUX;k-pop;86;81419512;https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a;GENRE_1
Bruno Mars;0du5cEVh5yTK9QJze8zA0C;r&b;91;76055599;https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd;GENRE_1
A.R. Rahman;1mYsTxnqsietFxj1OgoGbG;tamil pop, kollywood, bollywood, sufi, hindi pop, desi;82;72090455;https://i.scdn.co/image/ab6761610000e5ebb19af0ea736c6228d6eb539c;GENRE_1
Rihanna;5pKCCKE2ajJHZ9KAiaK11H;r&b;92;69497659;https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac;GENRE_1
Adele;4dpARuHxo51G3z768sgnrY;soft pop;84;67125466;https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17;GENRE_1
Coldplay;4gzpq5DPGxSnKTe4SA8HAU;pop;89;61164769;https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb;GENRE_1
Pritam;1wRPtKGflJrBx9BmLsSwlU;bollywood, hindi pop, desi;89;61154695;https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca;GENRE_1
KAROL G;790FomKkXshlbRYZFtlgla;reggaeton, latin, urbano latino;88;60821595;https://i.scdn.co/image/ab6761610000e5eb66041ce9eb4497057cbc3496;GENRE_2
Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;rock;86;58517632;https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38;GENRE_1
BLACKPINK;41MozSoPIsD1dJM0CLPjZF;k-pop;82;56411140;https://i.scdn.co/image/ab6761610000e5eb9b57f5eccf180a0049be84b3;GENRE_1
Queen;1dfeR4HaWDbWqFHLkxsg1d;classic rock, rock, glam rock;84;55401342;https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982;GENRE_1
Selena Gomez;0C8ZW7ezQVs4URX5aX7Kqx;pop;82;53364348;https://i.scdn.co/image/ab6761610000e5eb815e520e3ce7fe210046ba66;GENRE_1
Lana Del Rey;00FQb4jTyendYWaN8pK0wa;pop;89;52364576;https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261;GENRE_1
XXXTENTACION;15UsOTVnJzReFVN1VCnxy4;emo rap;84;51923644;https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4;LETTER_1
Olivia Rodrigo;1McMsnEElThX1knmY4oliG;pop;86;49471454;https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4;GENRE_1
Neha Kakkar;5f4QpKfy7ptCHwTqspnSJI;bollywood, hindi pop, desi, desi pop, gujarati garba;73;49007550;https://i.scdn.co/image/ab6761610000e5eb32562ae7f933506c332f6586;LETTER_1
Post Malone;246dkjvS1zLTtiykXe5h60;hip hop, pop;87;47812166;https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0;LETTER_1
Dua Lipa;6M2wZ9GZgrQXHCFfjv46we;pop;87;47039248;https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d;GENRE_1
Sidhu Moose Wala;4PULA4EFzYTrxYvOVlwpiQ;punjabi hip hop, punjabi pop, bhangra, desi hip hop;75;46016968;https://i.scdn.co/image/ab6761610000e5eb9973157bdaedef3f77ef8e13;LETTER_2
Maroon 5;04gDigrS5kc9YWfZHwBETP;pop;86;45957983;https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77;GENRE_1
Shawn Mendes;7n2wHs1TKAczGzO7Dd2rGr;pop;82;45801371;https://i.scdn.co/image/ab6761610000e5eb58b4b9419486550f6fda0535;GENRE_1
Anuel AA;2R21vXR83lH98kGeO99Y66;reggaeton, trap latino, urbano latino, latin;88;45112869;https://i.scdn.co/image/ab6761610000e5eba23ceb177745632b517cb7b2;GENRE_2
Kendrick Lamar;2YZyLoL8N0Wb9xBt1NhZWg;hip hop, west coast hip hop;90;44936093;https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918;LETTER_1
Anirudh Ravichander;4zCH9qm4R2DADamUHMCa6O;tamil pop, kollywood, tamil dance, tamil hip hop, tollywood, telugu pop;84;44220293;https://i.scdn.co/image/ab6761610000e5eb0f0be2054fe9594026a6b843;GENRE_1
Juice WRLD;4MCBfE4596Uoi2O4DtmEMz;melodic rap, emo rap;86;42837304;https://i.scdn.co/image/ab6761610000e5eb23a60030944f7853c21565ef;LETTER_1
Lady Gaga;1HY2Jd0NmPuamShAr6KMms;art pop, pop;90;42743096;https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6;GENRE_1
Travis Scott;0Y5tJX1MQlPlqiwlOH1tJY;rap;90;41409574;https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71;LETTER_1
Beyoncé;6vWDO969PvNqNYHIOW5v0m;r&b;85;41339592;https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0;GENRE_1
Alan Walker;7vk5e3vY1uw9plTHJAMwjN;edm;79;41332399;https://i.scdn.co/image/ab6761610000e5eb572a8eae56feae217f618078;LETTER_1
Atif Aslam;2oSONSC9zQ4UonDKnLqksx;bollywood, hindi pop, desi, sufi, qawwali;80;41294006;https://i.scdn.co/image/ab6761610000e5ebc40600e02356cc86f0debe84;GENRE_1
One Direction;4AK6F7OLvEQ5QYCBNiQWHq;pop;84;40364313;https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8;GENRE_1
Shakira;0EmeFodog0BfCgMzAIvKQp;latin pop;86;40073849;https://i.scdn.co/image/ab6761610000e5eb44b07362e94585ebd7c564c9;GENRE_1
Ozuna;1i8SpTcr7yvPOmcqrbnVXY;reggaeton, trap latino, latin, urbano latino;87;39490829;https://i.scdn.co/image/ab6761610000e5eb463e10d5f1a533ddd6eb9a04;GENRE_2
J Balvin;1vyhD5VmyZ7KMfW5gqLgo5;reggaeton, latin;87;39243150;https://i.scdn.co/image/ab6761610000e5eb0405b03342c2e56751b9923d;GENRE_2
Maluma;1r4hJ1h58CWwUQe3MxPuau;reggaeton, latin, urbano latino;85;38781157;https://i.scdn.co/image/ab6761610000e5ebc865fa1b398bc1cd02649f51;GENRE_2
Marília Mendonça;1yR65psqiazQpeM79CcGh8;sertanejo, sertanejo universitário, arrocha, forró;79;38678828;https://i.scdn.co/image/ab6761610000e5eb82541986e1e91ecd556ef72c;GENRE_1
Katy Perry;6jJ0s89eD6GaHleKKya26X;pop;85;38598993;https://i.scdn.co/image/ab6761610000e5eb4be5330bd48527f9dd620663;GENRE_1
Daddy Yankee;4VMYDCV2IEDYJArk749S6m;reggaeton, latin;87;38001984;https://i.scdn.co/image/ab6761610000e5eb9a6918fd0b2fd675d63c675d;GENRE_2
Michael Jackson;3fMbdgg4jU18AjLCKBhRSm;pop;87;37860694;https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd;GENRE_2
Yo Yo Honey Singh;7uIbLdzzSEqnX0Pkrb56cR;bollywood, hindi hip hop, desi, hindi pop, punjabi pop, punjabi hip hop;78;36908340;https://i.scdn.co/image/ab6761610000e5ebbc7e4fffd515b47ff1ebbc1f;LETTER_1
Diljit Dosanjh;2FKWNmZWDBZR4dE5KX4plR;bhangra, punjabi pop, punjabi hip hop, desi, bollywood;77;36847151;https://i.scdn.co/image/ab6761610000e5ebfc043bea91ac91c222d235c9;LETTER_1
Camila Cabello;4nDoRrQiYLoBzwC5BhVJzF;pop;79;35664207;https://i.scdn.co/image/ab6761610000e5eb76470faf6330235edbcb90a9;GENRE_1
Guns N' Roses;3qm84nBOXUEQ2vnTfUTTFC;rock, glam metal, hard rock, classic rock;81;35428207;https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c;GENRE_1
Doja Cat;5cj0lLjcoR7YOSnhnX0Po5;rap;87;34976945;https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101;GENRE_1
Marshmello;64KEffDW9EtZ1y2vBYgq8T;edm;81;34516532;https://i.scdn.co/image/ab6761610000e5eb3b2498dc8a8c6eceed0a2db3;LETTER_1
Nicki Minaj;0hCNtLu0JehylgoiP8L4Gh;rap;85;34362969;https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd;GENRE_1
Harry Styles;6KImCVD70vtIoJWnq6nGn3;pop;81;34210950;https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb;GENRE_1
SZA;7tYKF4w9nC0nq9CsPZTHyP;r&b;88;33352641;https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf;GENRE_2
Shreya Ghoshal;0oOet2f43PA68X5RxKobEy;bollywood, hindi pop, desi, kannada pop, marathi pop;85;33165983;https://i.scdn.co/image/ab6761610000e5ebe7ce89a9f5d11e0ba26677eb;GENRE_1
AC/DC;711MCceyCBcFnzjGY4Q7Un;rock, hard rock, classic rock, rock and roll;82;32470770;https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37;GENRE_1
Metallica;2ye2Wgw4gimLv2eAKyk1NB;metal, thrash metal, rock, heavy metal, hard rock;83;32388906;https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44;GENRE_1
Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;indie, garage rock;86;32297649;https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f;GENRE_1
Linkin Park;6XyY86QOPPrYVGvF9ch6wz;nu metal, rap metal, rock, alternative metal;89;32062825;https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f;GENRE_1
Rauw Alejandro;1mcTU81TzQhprhouKaTkpq;reggaeton, urbano latino, trap latino, latin;90;31366975;https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa;GENRE_2
Kanye West;5K4W6rqBFWDnAN6FQUkS6x;rap;91;31224907;https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a;LETTER_1
The Beatles;3WrFJ7ztbogyGnTHbHJFl2;classic rock, psychedelic rock;84;30823347;https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433;GENRE_1
Badshah;0y59o4v8uw5crbN9M3JiL1;bollywood, desi, hindi pop, desi hip hop, hindi hip hop, desi pop;75;30796471;https://i.scdn.co/image/ab6761610000e5eb7b386b1320742bd6686854e7;LETTER_1
Sia;5WUlDfRSoLAfcVSX1WnrxN;pop;84;30654431;https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1;GENRE_1
Henrique & Juliano;3p7PcrEHaaKLJnPUGOtRlT;sertanejo, sertanejo universitário, arrocha, agronejo;86;30383873;https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601;GENRE_1
Rahat Fateh Ali Khan;3OLGltG8UPIea8sA4w0yg0;sufi, qawwali, bollywood, hindi pop, desi, ghazal;76;28804197;https://i.scdn.co/image/ab6761610000e5ebac45eaf028dc58810df0f382;LETTER_1
Junior H;7Gi6gjaWy3DxyilpF1a8Is;corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda;89;28626110;https://i.scdn.co/image/ab6761610000e5eb5fbe9b7dc7d9a2295bd6022c;GENRE_1
Chris Brown;7bXgB6jMjp9ATFy66eO08Z;r&b;88;28587137;https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728;GENRE_2
Demi Lovato;6S2OmqARrzebs0tKUEyXyp;pop;79;27284586;https://i.scdn.co/image/ab6761610000e5eb42d7061876b87861d7c8f3fb;GENRE_1
David Guetta;1Cs0zKBU1kc0i8ypK3B9ai;edm;88;27222177;https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f;GENRE_1
J. Cole;6l3HvQ5sa6mXTsMTB19rO5;rap;83;27180330;https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc;LETTER_1
Sabrina Carpenter;74KM79TiuVKeVCqs8QtB0B;pop;92;27074990;https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455;GENRE_1
Romeo Santos;5lwmRuXgjX8xIwlnauTZIP;bachata, latin;83;26755507;https://i.scdn.co/image/ab6761610000e5eb6d8b48abede0f9e433aa6e49;GENRE_2
Paulo Londra;3vQ0GE3mI0dAaxIMYe5g7z;argentine trap, trap latino, reggaeton;76;26731274;https://i.scdn.co/image/ab6761610000e5eb3deda947e22df7dd3c8fe2c2;GENRE_2
Miley Cyrus;5YGY8feqx7naU7z4HrwZM6;pop;82;26650518;https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353;GENRE_1
Darshan Raval;2GoeZ0qOTt6kjsWW4eA6LS;gujarati garba, hindi pop, gujarati pop, bollywood, desi pop, desi;73;26550990;https://i.scdn.co/image/ab6761610000e5ebe971c19e2c773085fe2e4c32;LETTER_1
Sam Smith;2wY79sveU1sp5g7SokKOiI;soft pop;82;26375062;https://i.scdn.co/image/ab6761610000e5eb3262e01b79152c4f8007f3ac;GENRE_1
Cardi B;4kYSro6naA4h99UJvo89HB;pop;81;26024497;https://i.scdn.co/image/ab6761610000e5eba23286f24edd4a7dbdc6311d;LETTER_1
Twenty One Pilots;3YQKmKGau1PzlVlkL1iodx;rock;84;25816700;https://i.scdn.co/image/ab6761610000e5eb61a7ea26d33ded218cd1e59d;GENRE_1
Charlie Puth;6VuMaDnrHyPL1p4EHjYLi7;soft pop, pop;81;25413684;https://i.scdn.co/image/ab6761610000e5eb6721f541fb123145d4cb3ace;GENRE_1
Tyler The Creator;4V8LLVI7PbaPR0K2TGSxFF;hip hop;87;24684277;https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb;LETTER_1
Lata Mangeshkar;61JrslREXq98hurYL2hYoc;ghazal, bollywood, bhajan, hindi pop, marathi pop;78;24580653;https://i.scdn.co/image/ab6761610000e5eba0199b159c0c5a9f62333d32;LETTER_1
Sebastian Yatra;07YUOmWljBTXwIseAUd9TW;colombian pop, reggaeton;78;24387039;https://i.scdn.co/image/ab6761610000e5ebac1d47a290d9c451e4ba3b06;GENRE_1
Peso Pluma;12GqGscKJx3aE4t07u7eVZ;corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos;87;24275010;https://i.scdn.co/image/ab6761610000e5ebe5283f5b671cf618b82a2696;GENRE_1
Jorge & Mateus;1elUiq4X7pxej6FRlrEzjM;sertanejo, sertanejo universitário, arrocha, agronejo;81;24190447;https://i.scdn.co/image/ab6761610000e5ebcdef7b197f1add89019d6ad4;GENRE_1
ZAYN;5ZsFI1h6hIdQRw2ti0hz81;pop;78;24176265;https://i.scdn.co/image/ab6761610000e5eb7a1fba1bb3618ef71355f82a;GENRE_1
