data,ano,dia_semana,nome_feriado,tipo_dia,temperature_2m_max,temperature_2m_min,precipitation_sum,weathercode,descricao_clima
2021-01-01,2021,Sexta-feira,Confraternização mundial,Feriado Nacional,26.2,18.4,10.5,63.0,Chuva moderada
2021-01-02,2021,Sábado,,Fim de semana,23.4,18.3,5.0,61.0,Chuva leve
2021-01-03,2021,Domingo,,Fim de semana,24.9,17.2,3.6,53.0,Chuvisco moderado
2021-01-04,2021,Segunda-feira,,Dia útil,26.8,17.2,2.4,61.0,Chuva leve
2021-01-05,2021,Terça-feira,,Dia útil,28.6,17.7,4.7,61.0,Chuva leve
2021-01-06,2021,Quarta-feira,,Dia útil,29.7,20.7,4.7,63.0,Chuva moderada
2021-01-07,2021,Quinta-feira,,Dia útil,28.9,20.8,5.3,61.0,Chuva leve
2021-01-08,2021,Sexta-feira,,Dia útil,26.6,20.6,22.5,65.0,Chuva forte
2021-01-09,2021,Sábado,,Fim de semana,26.9,19.7,4.5,61.0,Chuva leve
2021-01-10,2021,Domingo,,Fim de semana,27.9,19.4,9.3,63.0,Chuva moderada
2021-01-11,2021,Segunda-feira,,Dia útil,28.1,20.1,2.6,55.0,Chuvisco intenso
2021-01-12,2021,Terça-feira,,Dia útil,29.0,21.1,17.7,65.0,Chuva forte
2021-01-13,2021,Quarta-feira,,Dia útil,26.7,20.7,18.6,65.0,Chuva forte
2021-01-14,2021,Quinta-feira,,Dia útil,27.3,19.3,10.0,63.0,Chuva moderada
2021-01-15,2021,Sexta-feira,,Dia útil,25.9,18.8,13.0,63.0,Chuva moderada
2021-01-16,2021,Sábado,,Fim de semana,27.5,18.3,1.7,51.0,Chuvisco leve
2021-01-17,2021,Domingo,,Fim de semana,28.0,21.2,0.6,51.0,Chuvisco leve
2021-01-18,2021,Segunda-feira,,Dia útil,29.2,20.6,6.0,61.0,Chuva leve
2021-01-19,2021,Terça-feira,,Dia útil,27.2,20.2,12.9,61.0,Chuva leve
2021-01-20,2021,Quarta-feira,,Dia útil,29.0,19.9,2.4,53.0,Chuvisco moderado
2021-01-21,2021,Quinta-feira,,Dia útil,27.9,19.2,2.0,55.0,Chuvisco intenso
2021-01-22,2021,Sexta-feira,,Dia útil,27.5,19.0,1.6,53.0,Chuvisco moderado
2021-01-23,2021,Sábado,,Fim de semana,28.1,18.4,3.5,61.0,Chuva leve
2021-01-24,2021,Domingo,,Fim de semana,27.7,19.4,4.4,63.0,Chuva moderada
2021-01-25,2021,Segunda-feira,Aniversário de São Paulo,Feriado Municipal,29.7,18.8,8.8,63.0,Chuva moderada
2021-01-26,2021,Terça-feira,,Dia útil,28.1,18.3,22.5,65.0,Chuva forte
2021-01-27,2021,Quarta-feira,,Dia útil,29.2,20.5,0.5,51.0,Chuvisco leve
2021-01-28,2021,Quinta-feira,,Dia útil,29.7,20.7,6.9,63.0,Chuva moderada
2021-01-29,2021,Sexta-feira,,Dia útil,30.2,19.5,0.0,3.0,Nublado
2021-01-30,2021,Sábado,,Fim de semana,31.9,19.6,0.0,3.0,Nublado
2021-01-31,2021,Domingo,,Fim de semana,30.7,20.2,1.4,53.0,Chuvisco moderado
2021-02-01,2021,Segunda-feira,,Dia útil,29.5,21.0,4.0,61.0,Chuva leve
2021-02-02,2021,Terça-feira,,Dia útil,29.8,19.8,7.3,63.0,Chuva moderada
2021-02-03,2021,Quarta-feira,,Dia útil,29.4,18.1,0.9,53.0,Chuvisco moderado
2021-02-04,2021,Quinta-feira,,Dia útil,30.7,20.9,1.6,53.0,Chuvisco moderado
2021-02-05,2021,Sexta-feira,,Dia útil,25.9,18.2,21.9,65.0,Chuva forte
2021-02-06,2021,Sábado,,Fim de semana,25.0,17.3,1.4,53.0,Chuvisco moderado
2021-02-07,2021,Domingo,,Fim de semana,24.0,16.5,2.2,53.0,Chuvisco moderado
2021-02-08,2021,Segunda-feira,,Dia útil,24.2,14.6,0.4,51.0,Chuvisco leve
2021-02-09,2021,Terça-feira,,Dia útil,24.7,14.8,1.4,53.0,Chuvisco moderado
2021-02-10,2021,Quarta-feira,,Dia útil,25.9,16.1,3.3,61.0,Chuva leve
2021-02-11,2021,Quinta-feira,,Dia útil,25.8,17.3,19.7,65.0,Chuva forte
2021-02-12,2021,Sexta-feira,,Dia útil,25.0,17.7,9.7,63.0,Chuva moderada
2021-02-13,2021,Sábado,,Fim de semana,24.2,17.9,10.7,63.0,Chuva moderada
2021-02-14,2021,Domingo,,Fim de semana,27.0,17.4,0.0,3.0,Nublado
2021-02-15,2021,Segunda-feira,,Dia útil,27.0,18.7,1.5,51.0,Chuvisco leve
2021-02-16,2021,Terça-feira,Carnaval,Feriado Nacional,27.3,18.3,0.6,51.0,Chuvisco leve
2021-02-17,2021,Quarta-feira,,Dia útil,27.0,19.1,3.6,61.0,Chuva leve
2021-02-18,2021,Quinta-feira,,Dia útil,27.6,16.2,2.0,55.0,Chuvisco intenso
2021-02-19,2021,Sexta-feira,,Dia útil,27.6,17.4,0.2,51.0,Chuvisco leve
2021-02-20,2021,Sábado,,Fim de semana,26.8,17.2,0.3,51.0,Chuvisco leve
2021-02-21,2021,Domingo,,Fim de semana,26.2,17.5,0.6,51.0,Chuvisco leve
2021-02-22,2021,Segunda-feira,,Dia útil,26.5,18.2,0.7,51.0,Chuvisco leve
2021-02-23,2021,Terça-feira,,Dia útil,29.9,17.0,0.0,3.0,Nublado
2021-02-24,2021,Quarta-feira,,Dia útil,28.9,17.4,2.4,61.0,Chuva leve
2021-02-25,2021,Quinta-feira,,Dia útil,24.9,18.0,12.9,63.0,Chuva moderada
2021-02-26,2021,Sexta-feira,,Dia útil,22.0,17.6,24.4,65.0,Chuva forte
2021-02-27,2021,Sábado,,Fim de semana,24.4,17.8,18.6,65.0,Chuva forte
2021-02-28,2021,Domingo,,Fim de semana,26.6,17.7,13.5,65.0,Chuva forte
2021-03-01,2021,Segunda-feira,,Dia útil,26.7,18.5,1.1,55.0,Chuvisco intenso
2021-03-02,2021,Terça-feira,,Dia útil,27.7,18.6,0.6,51.0,Chuvisco leve
2021-03-03,2021,Quarta-feira,,Dia útil,28.2,20.0,0.3,51.0,Chuvisco leve
2021-03-04,2021,Quinta-feira,,Dia útil,28.2,19.3,5.1,61.0,Chuva leve
2021-03-05,2021,Sexta-feira,,Dia útil,24.2,20.0,4.9,61.0,Chuva leve
2021-03-06,2021,Sábado,,Fim de semana,24.0,18.8,23.3,63.0,Chuva moderada
2021-03-07,2021,Domingo,,Fim de semana,24.0,18.2,15.4,65.0,Chuva forte
2021-03-08,2021,Segunda-feira,,Dia útil,24.9,17.6,4.5,63.0,Chuva moderada
2021-03-09,2021,Terça-feira,,Dia útil,26.5,16.3,0.0,3.0,Nublado
2021-03-10,2021,Quarta-feira,,Dia útil,25.5,17.6,0.5,51.0,Chuvisco leve
2021-03-11,2021,Quinta-feira,,Dia útil,27.1,17.2,2.9,53.0,Chuvisco moderado
2021-03-12,2021,Sexta-feira,,Dia útil,28.6,17.5,1.1,51.0,Chuvisco leve
2021-03-13,2021,Sábado,,Fim de semana,27.5,19.0,0.0,3.0,Nublado
