Festival;Local;Data ;Ano;Headliners
Coala Festival;Memorial da América Latina;11/09/2021;2021;Maria Bethânia, Alceu Valença
Coala Festival;Memorial da América Latina;12/09/2021;2021;Gal Costa, Black Alien
Lollapalooza;Autódromo de Interlagos;25/03/2022;2022;The Strokes
Lollapalooza;Autódromo de Interlagos;26/03/2022;2022;Miley Cyrus
Lollapalooza;Autódromo de Interlagos;27/03/2022;2022;Foo Fighters
Coala Festival;Memorial da América Latina;16/09/2022;2022;Djavan
Coala Festival;Memorial da América Latina;17/09/2022;2022;Gal Costa
Coala Festival;Memorial da América Latina;18/09/2022;2022;Maria Bethânia, Alceu Valença
Primavera Sound;Distrito Anhembi;05/11/2022;2022;Arctic Monkeys, Björk
Primavera Sound;Distrito Anhembi;06/11/2022;2022;Travis Scott, Lorde
Popload Festival;CE Tietê;12/10/2022;2022;Pixies, Jack White
CENA 2k22;Sambódramo do Anhembi;09/04/2022;2022;Recayd MOB
CENA 2k22;Sambódramo do Anhembi;10/04/2022;2022;Trippie Redd
Knotfest;Sambódramo do Anhembi;18/12/2022;2022;Slipknot, Judas Priest
Turá;Parque Ibirapuera;02/07/2022;2022;Emicida, Zeca Pagodinho
Turá;Parque Ibirapuera;03/07/2022;2022;Baiana System, Alceu Valença
Lollapalooza;Autódromo de Interlagos;24/03/2023;2023;Billie Eilish, Lil Nas X
Lollapalooza;Autódromo de Interlagos;25/03/2023;2023;Twenty One Pilots, Tame Impala
Lollapalooza;Autódromo de Interlagos;26/03/2023;2023;Drake, Rosaliá
Monsters of Rock;Allianz Parque;22/04/2023;2023;Kiss, Scorpions
Ultra Brasil;Vale do Anhangabaú;21/04/2023;2023;Mashmallow
Ultra Brasil;Vale do Anhangabaú;22/04/2023;2023;Dj Snake
Summer Breeze Brasil;Memorial da América Latina;29/04/2023;2023;Blind Guardian, Apocalyptica
Summer Breeze Brasil;Memorial da América Latina;30/04/2023;2023;Parkway Drive, Evergrey
Nômade Festival;Memorial da América Latina;20/05/2023;2023;Alcione
Nômade Festival;Memorial da América Latina;21/05/2023;2023;Criolo
The Town ;Autódromo de Interlagos;02/09/2023;2023;Post Malone, Demi Lovato
The Town ;Autódromo de Interlagos;03/09/2023;2023;Bruno Mars, Bebe Rexha
The Town ;Autódromo de Interlagos;07/09/2023;2023;Maroon 5, The Chainsmokers
The Town ;Autódromo de Interlagos;09/09/2023;2023;Foo Fighters
The Town ;Autódromo de Interlagos;10/09/2023;2023;Bruno Mars, H.E.R
MITA Festival;Novo Anhangabaú;03/06/2023;2023;Lana Del Rey
MITA Festival;Novo Anhangabaú;04/06/2023;2023;Florence + The Machine
Coala Festival;Memorial da América Latina;15/09/2023;2023;OlodumBaiano
Coala Festival;Memorial da América Latina;16/09/2023;2023;Novos Baianos
Coala Festival;Memorial da América Latina;17/09/2023;2023;Jorge Ben Jor
Turá;Parque Ibirapuera;24/06/2023;2023;Jorge Ben Jor
Turá;Parque Ibirapuera;25/06/2023;2023;Gilberto Gil e Família
The Carnival;Vibra São Paulo;10/02/2024;2024;Steve Angello
The Carnival;Vibra São Paulo;10/02/2024;2024;Vintage Culture
Afterlife São Paulo;Autódromo de Interlagos;24/02/2024;2024;Omnya
Lollapalooza;Autódromo de Interlagos;22/03/2024;2024;Blink-182,Arcade Fire
Lollapalooza;Autódromo de Interlagos;23/03/2024;2024;Kings of Leon, Limp Bizkit
Lollapalooza;Autódromo de Interlagos;24/03/2024;2024;SZA, Sam Smith
