Local_ID;Nome_Local;Capacidade;Categoria_Local;Tipo_Espaco;Bairro;Latitude;Longitude
L025;Centro Cultural São Paulo;2.000;Médias Casas;Teatro E Casa De Espetáculos;Vergueiro;'-23.5708;'-46.6403
L033;Centro de Eventos São Luís;2.500;Médias Casas;Centro De Exposições;Bela Vista;'-23.5522;'-46.6594
L034;Sambodramo Anhembi;2.500;Médias Casas;Casa De Shows;Santana;'-23.51611;'-46.64320
L007;Komplexo Tempo;3.000;Médias Casas;Casa De Shows;Mooca;'-23.57034;'-46.60027
L012;Espaço Leste Music;3.000;Médias Casas;Casa De Shows;Zona Leste;'-23.59208;'-46.47236
L015;Centro de Convenções Rebouças;3.000;Médias Casas;Centro De Exposições;Pinheiros;'-23.5520;'-46.6790
L036;Arena XP;3.000;Médias Casas;Estádio Multiuso;Marginal Tietê;'-23.5452934;'-46.4742864
L044;Expo Alphaville;3.000;Médias Casas;Centro De Exposições;Barueri;'-23.4521;'-46.8434
L008;Audio Club;3.200;Médias Casas;Casa De Shows;Barra Funda;'-23.5237;'-46.6551
L060;Audio;3.200;Médias Casas;Casa De Shows;Barra Funda;'-23.52822;'-46.66968
L041;Centro de Convenções Frei Caneca;3.800;Médias Casas;Centro De Exposições;Consolação;'-23.5538;'-46.6493
L010;Tokio Marine Hall;4.000;Médias Casas;Casa De Shows;Barra Funda;'-23.6383;'-46.7203
L011;Tom Brasil;4.000;Médias Casas;Casa De Shows;Santo Amaro;'-23.602102;'-46.687800
L043;Arena Sertaneja;4.000;Médias Casas;Casa De Shows;Zona Leste;'-23.5160;'-46.5070
L018;Centro de Eventos Pro Magno;5.000;Médias Casas;Centro De Eventos;Casa Verde;'-23.4764;'-46.6865
L028;Expo Barra Funda;5.000;Médias Casas;Centro De Eventos;Barra Funda;'-23.52699;'-46.66954
L029;Centro de Tradições Nordestinas;5.000;Médias Casas;Casa De Shows;Zona Norte;'-23.4723;'-46.6299
L035;Expo Imigrantes;5.000;Médias Casas;Centro De Exposições;Jabaquara;'-23.6591;'-46.6358
L038;Arena Villa Lobos;5.000;Médias Casas;Teatro E Casa De Espetáculos;Vila Leopoldina;'-23.5021;'-46.7142
L039;Centro de Eventos Arca;5.000;Médias Casas;Centro De Exposições;Vila Leopoldina;'-23.5221;'-46.6910
L040;Expo São Paulo;5.000;Médias Casas;Centro De Eventos;Casa Verde;'-23.6591;'-46.6358
L046;Arena Interlagos;5.000;Médias Casas;Área Externa Para Eventos;Interlagos;'-23.7073;'-46.6943
L049;Parque da Juventude;5.000;Médias Casas;Área Externa Para Eventos;Santana;'-23.50318;'-46.62131
L054;Terra SP;6.000;Médias Casas;Casa De Shows;Campo Grande;'-23.6463;'-46.7763
L009;Vibra São Paulo;7.000;Médias Casas;Teatro E Casa De Espetáculos;Marginal Pinheiros;'-23.6475;'-46.7239
L004;Espaço Unimed;8.000;Médias Casas;Casa De Shows;Barra Funda;'-23.52812;'-46.66805
L050;Villa Country;8.000;Médias Casas;Casa De Shows;Água Branca;'-23.5832;'-46.6348
L051;Parque do Carmo;8.000;Médias Casas;Área Externa Para Eventos;Zona Leste;'-23.5725;'-46.4618
L055;Espaço das Américas;8.000;Médias Casas;Casa De Shows;Barra Funda;'-23.5156;'-46.6820
L067;Suhai Music Hall;9.000;Médias Casas;Casa De Shows;Jurubatuba;'-23.68026;'-46.69805
L003;Ginásio do Ibirapuera;10.000;Médias Casas;Ginásio Coberto;Ibirapuera;'-23.57792595;'-46.65613433
L017;Transamérica Expo Center;10.000;Médias Casas;Centro De Exposições;Santo Amaro;'-23.6069;'-46.7005
