artista,data,ano,local,cidade,estado
Pitty,2021-01-15,2021,Private Venue,São Paulo,São Paulo
Nirvana Experience (ex-Hormoaning),2021-01-16,2021,Relicário Rock Bar,São Paulo,São Paulo
Ivete Sangalo,2021-02-03,2021,Conversa com Bial,São Paulo,São Paulo
Pitty,2021-02-05,2021,Private Venue,São Paulo,São Paulo
Pabllo Vittar,2021-02-06,2021,Altas Horas,São Paulo,São Paulo
Pabllo Vittar,2021-02-12,2021,Domingão do Faustão,São Paulo,São Paulo
Pitty,2021-02-19,2021,Private Venue,São Paulo,São Paulo
Nirvana Experience (ex-Hormoaning),2021-02-20,2021,Santa Breja Bar,São Paulo,São Paulo
Rancore,2021-02-21,2021,Hangar 110,São Paulo,São Paulo
Nirvana Experience (ex-Hormoaning),2021-02-26,2021,Ton Ton Jazz Bar,São Paulo,São Paulo
Urias,2021-03-26,2021,Festival BixaNagô,São Paulo,São Paulo
Jerry Smith,2021-03-28,2021,Private Venue,São Paulo,São Paulo
Djonga,2021-03-29,2021,,São Paulo,São Paulo
Gabi Martins,2021-04-04,2021,The House,São Paulo,São Paulo
Rebecca,2021-04-07,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Ultraje a rigor,2021-04-22,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Sophia Chablau e Uma Enorme Perda de Tempo,2021-04-22,2021,Itaú Cultural,São Paulo,São Paulo
Majur,2021-04-23,2021,Private Venue,São Paulo,São Paulo
Tulipa Ruiz,2021-04-25,2021,Private Venue,São Paulo,São Paulo
Edson & Hudson,2021-04-25,2021,Private Venue,São Paulo,São Paulo
Tulipa Ruiz,2021-05-01,2021,Estúdio Brocal,São Paulo,São Paulo
Ultraje a rigor,2021-05-13,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Nirvana Experience (ex-Hormoaning),2021-05-22,2021,Zelina's Garage,São Paulo,São Paulo
Melim,2021-05-23,2021,Domingo Legal,Osasco,São Paulo
POCAH,2021-05-25,2021,Altas Horas,São Paulo,São Paulo
Luísa Sonza,2021-05-25,2021,Altas Horas,São Paulo,São Paulo
Marcio Lomiranda,2021-05-27,2021,Oca,São Paulo,São Paulo
Arthur Joly,2021-05-27,2021,Oca,São Paulo,São Paulo
RHR,2021-05-27,2021,Oca,São Paulo,São Paulo
Guerrinha,2021-05-27,2021,Oca,São Paulo,São Paulo
Forró Red Light,2021-05-28,2021,Oca,São Paulo,São Paulo
Rakta,2021-05-28,2021,Oca,São Paulo,São Paulo
Gal Costa,2021-05-28,2021,Teatro Bradesco,São Paulo,São Paulo
BADSISTA,2021-05-28,2021,Oca,São Paulo,São Paulo
Ivete Sangalo,2021-05-31,2021,Mais Você,São Paulo,São Paulo
Ultraje a rigor,2021-06-04,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Pabllo Vittar,2021-06-05,2021,Private Venue,São Paulo,São Paulo
Gloria Groove,2021-06-05,2021,Private Venue,São Paulo,São Paulo
Urias,2021-06-05,2021,Private Venue,São Paulo,São Paulo
Majur,2021-06-06,2021,Avenida Paulista,São Paulo,São Paulo
Gloria Groove,2021-06-06,2021,Private Venue,São Paulo,São Paulo
Pabllo Vittar,2021-06-06,2021,Private Venue,São Paulo,São Paulo
Nirvana Experience (ex-Hormoaning),2021-06-11,2021,Relicário Rock Bar,São Paulo,São Paulo
Ultraje a rigor,2021-06-11,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Ultraje a rigor,2021-06-15,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Kisser Clan,2021-06-19,2021,Manifesto Bar,São Paulo,São Paulo
Gloria Groove,2021-06-26,2021,Private Venue,São Paulo,São Paulo
Nirvana Experience (ex-Hormoaning),2021-07-03,2021,Alcatéia Rock Bar,São Paulo,São Paulo
Children of the Beast,2021-07-03,2021,Manifesto Bar,São Paulo,São Paulo
Ultraje a rigor,2021-07-08,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Djonga,2021-07-09,2021,,São Paulo,São Paulo
Wanessa Camargo,2021-07-10,2021,Private Venue,São Paulo,São Paulo
Ultraje a rigor,2021-07-16,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Jeff Scott Soto,2021-07-16,2021,Manifesto Bar,São Paulo,São Paulo
Detonator,2021-07-16,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Nirvana Experience (ex-Hormoaning),2021-07-17,2021,K9 Studio,São Paulo,São Paulo
Titãs,2021-07-17,2021,Theatro Municipal de São Paulo,São Paulo,São Paulo
Jeff Scott Soto,2021-07-18,2021,Manifesto Bar,São Paulo,São Paulo
Various Artists,2021-07-23,2021,Teatro Bradesco,São Paulo,São Paulo
Dr. Sin,2021-07-24,2021,Teatro J. Safra,São Paulo,São Paulo
Urias,2021-07-24,2021,Festival Latinidades,São Paulo,São Paulo
Nirvana Experience (ex-Hormoaning),2021-07-30,2021,Altas Horas Rock Bar,São Paulo,São Paulo
Luísa Sonza,2021-08-06,2021,"Prazer, Luísa",São Paulo,São Paulo
Children of the Beast,2021-08-06,2021,Café Piu Piu,São Paulo,São Paulo
UrucumTrio,2021-08-13,2021,Picles Cardeal,São Paulo,São Paulo
Biquini,2021-08-13,2021,AudioArena Originals,São Paulo,São Paulo
Luísa Sonza,2021-08-14,2021,"Prazer, Luísa",São Paulo,São Paulo
Vitor Ramil,2021-08-15,2021,Itaú Cultural,São Paulo,São Paulo
Ultraje a rigor,2021-08-16,2021,The Noite com Danilo Gentili,Osasco,São Paulo
Ivete Sangalo,2021-08-17,2021,Private Venue,São Paulo,São Paulo
Luísa Sonza,2021-08-20,2021,Super Dança dos Famosos,São Paulo,São Paulo
Nirvana Experience (ex-Hormoaning),2021-08-20,2021,Relicário Rock Bar,São Paulo,São Paulo
Luísa Sonza,2021-08-21,2021,"Prazer, Luísa",São Paulo,São Paulo
Nirvana Experience (ex-Hormoaning),2021-08-21,2021,Mitos & Lendas Moto Clube Rock Bar,São Paulo,São Paulo
Titãs,2021-08-28,2021,,São Paulo,São Paulo
Aquiles Priester,2021-08-29,2021,Tom Brasil,São Paulo,São Paulo
Fiuk,2021-08-29,2021,Show dos Famosos,São Paulo,São Paulo
Margareth Menezes,2021-08-29,2021,Show dos Famosos,São Paulo,São Paulo
