nome;data;ano;nome_local;lotacao
ZEZE DI CAMARGO & LUCIANO;04/09/2021;2021;ESPACO DAS AMERICAS;1560
OS PARALAMAS DO SUCESSO;02/10/2021;2021;ESPACO DAS AMERICAS;3000
MAIARA & MARAISA;22/10/2021;2021;VILLA COUNTRY;5000
FERNANDO & SOROCABA;22/10/2021;2021;VILLA COUNTRY;5000
MAIARA & MARAISA;23/10/2021;2021;VILLA COUNTRY;5000
FERNANDO & SOROCABA;23/10/2021;2021;VILLA COUNTRY;5000
VANESSA DA MATA;23/10/2021;2021;TOM BRASIL;
ZECA PAGODINHO;12/11/2021;2021;ESPACO DAS AMERICAS;
CAPITAL INICIAL;14/11/2021;2021;AUTODROMO DE INTERLAGOS;0
TITAS;20/11/2021;2021;ARENA ANHEMBI;
GUSTAVO MIOTO;27/11/2021;2021;PAVILHAO DO TRANSAMERICA EXPO CENTER;
JOAO GOMES;02/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;5000
TARCISIO DO ACORDEON;02/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;5000
VITOR FERNANDES;02/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;5000
JOAO GOMES;03/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;4400
TARCISIO DO ACORDEON;03/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;4400
VITOR FERNANDES;03/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;4400
ZE NETO & CRISTIANO;04/12/2021;2021;ARENA ANHEMBI;30000
WESLEY SAFADAO;04/12/2021;2021;ARENA ANHEMBI;30000
JOAO GOMES;04/12/2021;2021;ARENA ANHEMBI;30000
LEO SANTANA;04/12/2021;2021;ARENA ANHEMBI;30000
VEIGH;10/12/2021;2021;AUDIO;3200
IVETE SANGALO;10/12/2021;2021;ESPACO DAS AMERICAS;
YUNK VINO;10/12/2021;2021;AUDIO;3200
HENRIQUE & JULIANO;17/12/2021;2021;ESTADIO DO CANINDE;
LUAN SANTANA;19/12/2021;2021;ESPACO DAS AMERICAS;
NANDO REIS;23/12/2021;2021;ESPACO DAS AMERICAS;
JORGE & MATEUS;08/01/2022;2022;EXPO CENTER NORTE;
PEDRO SAMPAIO;08/01/2022;2022;EXPO CENTER NORTE;
GUSTAVO MIOTO;22/01/2022;2022;SAO PAULO EXPO;10000
FERRUGEM;22/01/2022;2022;SAO PAULO EXPO;10000
DENNIS;22/01/2022;2022;SAO PAULO EXPO;10000
LUISA SONZA;28/01/2022;2022;TRANSAMERICA EXPO CENTER;
OS BAROES DA PISADINHA;04/02/2022;2022;CENTRO DE TRADICOES NORDESTINAS;
MARISA MONTE;04/02/2022;2022;ESPACO DAS AMERICAS;3000
CALCINHA PRETA;04/02/2022;2022;CENTRO DE TRADICOES NORDESTINAS;
LUAN SANTANA;05/02/2022;2022;ESTADIO DO CANINDE;
LUDMILLA;05/02/2022;2022;ESTADIO DO CANINDE;
FERRUGEM;05/02/2022;2022;ESTADIO DO CANINDE;
MARISA MONTE;05/02/2022;2022;ESPACO DAS AMERICAS;3000
GLORIA GROOVE;10/02/2022;2022;AUDIO;2000
MARISA MONTE;11/02/2022;2022;ESPACO DAS AMERICAS;3000
ANITTA;12/02/2022;2022;MEMORIAL DA AMERICA LATINA;25000
PABLLO VITTAR;12/02/2022;2022;MEMORIAL DA AMERICA LATINA;25000
