nome;data;ano;nome_local;Pista;Pista Premium;Camarote;Cadeira Inferior;Cadeira Inferior Visão Parcial;Cadeira Superior;Cadeira Superior Visão Parcial;Mesa;Cadeira;Open Bar;Arquibancada;PIT;Early Entrance;Lolla Pista;Lolla Lounge;Lolla Confort;Meet & Greet;Backstage;Mezanino ;Frontstage;VIP I;VIP II;Super Premium;Bistrô Superior;Lounge
ZEZE DI CAMARGO & LUCIANO;04/09/2021;2021;ESPACO DAS AMERICAS;170;280;1800;350;0;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OS PARALAMAS DO SUCESSO;02/10/2021;2021;ESPACO DAS AMERICAS;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERNANDO & SOROCABA;22/10/2021;2021;VILLA COUNTRY;200;550;0;120;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAIARA & MARAISA;22/10/2021;2021;VILLA COUNTRY;200;550;0;120;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERNANDO & SOROCABA;23/10/2021;2021;VILLA COUNTRY;200;550;0;120;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAIARA & MARAISA;23/10/2021;2021;VILLA COUNTRY;200;550;0;120;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VANESSA DA MATA;23/10/2021;2021;TOM BRASIL;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZECA PAGODINHO;12/11/2021;2021;ESPACO DAS AMERICAS;210;320;420;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL INICIAL;14/11/2021;2021;AUTODROMO DE INTERLAGOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TITAS;20/11/2021;2021;ARENA ANHEMBI;180;300;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GUSTAVO MIOTO;27/11/2021;2021;PAVILHAO DO TRANSAMERICA EXPO CENTER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JOAO GOMES;02/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TARCISIO DO ACORDEON;02/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VITOR FERNANDES;02/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JOAO GOMES;03/12/2021;2021;CENTRO DE TRADICOES NORDESTINAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
