nome,generos,popularidade,seguidores,imagem,genero_cluster
ARIJIT SINGH,HINDI POP,90,165739069,https://i.scdn.co/image/ab6761610000e5eb5ba2d75eb08a2d672f9b69b7,Outros
TAYLOR SWIFT,POP,100,146601270,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,6.0
ED SHEERAN,SOFT POP,89,123163279,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec,Outros
BILLIE EILISH,POP,92,119521349,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,6.0
THE WEEKND,POP,95,113983998,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,6.0
ARIANA GRANDE,POP,92,107777870,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5,6.0
EMINEM,RAP,89,105082092,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,12.0
DRAKE,RAP,96,103800341,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,12.0
BAD BUNNY,REGGAETON,96,103484415,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13,Outros
JUSTIN BIEBER,POP,92,85355386,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034,6.0
BTS,K-POP,86,81419512,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a,9.0
BRUNO MARS,R&B,91,76055599,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,2.0
A.R. RAHMAN,TAMIL POP,82,72090455,https://i.scdn.co/image/ab6761610000e5ebb19af0ea736c6228d6eb539c,2.0
RIHANNA,R&B,92,69497659,https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac,2.0
ADELE,SOFT POP,84,67125466,https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17,Outros
COLDPLAY,POP,89,61164769,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,6.0
PRITAM,BOLLYWOOD,89,61154695,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca,2.0
KAROL G,REGGAETON,88,60821595,https://i.scdn.co/image/ab6761610000e5eb66041ce9eb4497057cbc3496,Outros
IMAGINE DRAGONS,ROCK,86,58517632,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38,14.0
BLACKPINK,K-POP,82,56411140,https://i.scdn.co/image/ab6761610000e5eb9b57f5eccf180a0049be84b3,9.0
QUEEN,CLASSIC ROCK,84,55401342,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,2.0
SELENA GOMEZ,POP,82,53364348,https://i.scdn.co/image/ab6761610000e5eb815e520e3ce7fe210046ba66,6.0
LANA DEL REY,POP,89,52364576,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,6.0
XXXTENTACION,EMO RAP,84,51923644,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,2.0
OLIVIA RODRIGO,POP,86,49471454,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,6.0
