ano,popularidade,lotacao,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2023,79.0,8000.0,DIA UTIL,JULHO,-11.5,14.0
2022,69.0,3200.0,DIA UTIL,MARÇO,-81.5,0.0
2022,72.0,8000.0,DIA UTIL,JULHO,-167.66666666666666,Outros
2022,72.0,8000.0,DIA UTIL,JULHO,0.3333333333333333,Outros
2025,76.0,8000.0,DIA UTIL,AGOSTO,333.0,Outros
2023,77.0,8000.0,DIA UTIL,SETEMBRO,-143.25,9.0
2022,71.0,6000.0,FIM DE SEMANA,OUTUBRO,-174.5,Outros
2024,71.0,7500.0,FIM DE SEMANA,ABRIL,138.25,Outros
2022,62.0,34000.0,DIA UTIL,JUNHO,-651.0,3.0
2024,62.0,3000.0,FERIADO NACIONAL,MARÇO,216.33333333333331,3.0
2023,68.0,50000.0,DIA UTIL,NOVEMBRO,-125.25,14.0
2022,64.0,7452.542372881356,FIM DE SEMANA,NOVEMBRO,-357.0,11.0
2023,64.0,7200.0,DIA UTIL,ABRIL,53.0,11.0
2023,64.0,3000.0,FIM DE SEMANA,NOVEMBRO,206.5,11.0
2024,62.0,6900.0,DIA UTIL,MARÇO,-93.66666666666669,5.0
2025,62.0,8000.0,FIM DE SEMANA,MARÇO,94.75,5.0
2025,70.0,20000.0,DIA UTIL,NOVEMBRO,-0.5,8.0
2023,79.0,50000.0,DIA UTIL,MAIO,-119.4,2.0
2022,77.0,3000.0,DIA UTIL,FEVEREIRO,-552.0,8.0
2023,77.0,4000.0,DIA UTIL,FEVEREIRO,178.5,8.0
2025,77.0,25000.0,FIM DE SEMANA,JUNHO,214.75,8.0
2023,62.0,7800.0,DIA UTIL,NOVEMBRO,333.0,Outros
2023,80.0,90000.0,FIM DE SEMANA,AGOSTO,-145.6,10.0
2025,80.0,40000.0,FIM DE SEMANA,AGOSTO,46.66666666666666,10.0
2025,80.0,8500.0,FIM DE SEMANA,OUTUBRO,261.3333333333333,10.0
2022,72.0,8000.0,DIA UTIL,JUNHO,-31.33333333333333,11.0
2022,72.0,3850.0,FIM DE SEMANA,SETEMBRO,-38.8,11.0
2023,72.0,7000.0,FIM DE SEMANA,DEZEMBRO,180.66666666666663,11.0
2025,72.0,8000.0,DIA UTIL,JUNHO,183.66666666666663,11.0
2025,72.0,8000.0,FIM DE SEMANA,OUTUBRO,40.0,11.0
2025,72.0,8000.0,FIM DE SEMANA,OUTUBRO,0.3333333333333333,11.0
2024,71.0,31000.0,FIM DE SEMANA,MAIO,333.0,Outros
2024,71.0,31000.0,FIM DE SEMANA,MAIO,0.3333333333333333,Outros
2025,71.0,24000.0,DIA UTIL,NOVEMBRO,181.33333333333331,Outros
2025,71.0,24000.0,FIM DE SEMANA,NOVEMBRO,0.3333333333333333,Outros
2022,79.0,3000.0,FERIADO NACIONAL,MARÇO,-695.0,1.0
2022,79.0,50000.0,DIA UTIL,AGOSTO,-93.0,1.0
2023,79.0,7000.0,FERIADO NACIONAL,FEVEREIRO,178.5,1.0
2024,79.0,20000.0,FERIADO MUNICIPAL,JANEIRO,499.5,1.0
2024,79.0,25000.0,DIA UTIL,SETEMBRO,749.0,1.0
2022,66.0,7900.0,DIA UTIL,JUNHO,-725.0,0.0
2023,66.0,40000.0,FIM DE SEMANA,MAIO,162.5,0.0
2024,66.0,21188.0,FIM DE SEMANA,JUNHO,-34.8,0.0
2024,66.0,3200.0,FIM DE SEMANA,NOVEMBRO,126.5,0.0
2024,72.0,1222.0,DIA UTIL,MAIO,776.0,3.0
2024,72.0,1222.0,DIA UTIL,OUTUBRO,152.0,3.0
2023,75.0,30000.0,FIM DE SEMANA,AGOSTO,-101.66666666666669,9.0
2022,77.0,8000.0,FERIADO MUNICIPAL,SETEMBRO,249.75,Outros
2024,69.0,60000.0,FIM DE SEMANA,OUTUBRO,-0.2,Outros
2024,69.0,3200.0,DIA UTIL,OUTUBRO,-87.0,Outros
2023,77.0,46000.0,DIA UTIL,JANEIRO,-239.75,6.0
2023,77.0,45340.0,FIM DE SEMANA,JANEIRO,0.25,6.0
2022,70.0,3200.0,FIM DE SEMANA,MARÇO,-105.0,9.0
2022,70.0,3200.0,DIA UTIL,SETEMBRO,48.75,9.0
2023,70.0,7500.0,DIA UTIL,MAIO,15.666666666666666,9.0
2024,70.0,8000.0,DIA UTIL,JANEIRO,86.33333333333333,9.0
2024,70.0,7678.333333333333,DIA UTIL,AGOSTO,72.33333333333333,9.0
2025,70.0,6500.0,DIA UTIL,OUTUBRO,142.33333333333334,9.0
2024,76.0,60000.0,FIM DE SEMANA,OUTUBRO,35.0,0.0
2023,61.0,50000.0,FIM DE SEMANA,DEZEMBRO,-230.5,Outros
2024,63.0,3800.0,FIM DE SEMANA,NOVEMBRO,-362.0,3.0
2025,63.0,7000.0,FIM DE SEMANA,JUNHO,126.83333333333331,9.0
2025,63.0,7000.0,FIM DE SEMANA,JUNHO,0.1666666666666666,9.0
2024,60.0,6800.0,DIA UTIL,MARÇO,-85.42857142857143,9.0
2022,73.0,4000.0,DIA UTIL,SETEMBRO,-157.2,3.0
2022,60.0,8000.0,DIA UTIL,OUTUBRO,-49.5,Outros
2023,65.0,50000.0,FIM DE SEMANA,DEZEMBRO,499.5,Outros
2025,70.0,40000.0,FIM DE SEMANA,ABRIL,-40.5,1.0
2023,66.0,8000.0,DIA UTIL,MARÇO,-214.5,6.0
2025,72.0,7800.0,FIM DE SEMANA,NOVEMBRO,84.0,14.0
2022,74.0,34000.0,FIM DE SEMANA,JUNHO,-588.5,9.0
2023,74.0,2500.0,FIM DE SEMANA,JANEIRO,-513.0,9.0
2023,74.0,7500.0,FIM DE SEMANA,ABRIL,96.0,9.0
2025,74.0,8000.0,FIM DE SEMANA,JULHO,277.6666666666667,9.0
2022,63.0,3200.0,FIM DE SEMANA,OUTUBRO,-47.0,Outros
2024,61.0,5500.0,DIA UTIL,MARÇO,12.0,Outros
2022,69.0,3500.0,FIM DE SEMANA,NOVEMBRO,-218.4,14.0
2022,67.0,42000.0,FIM DE SEMANA,JUNHO,-1175.0,8.0
