Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,nome_local
2000.0,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,-23.5708,-46.6403,CENTRO CULTURAL SAO PAULO
2500.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.5522,-46.6594,CENTRO DE EVENTOS SAO LUIS
2500.0,MEDIAS CASAS,CASA DE SHOWS,-23.51611,-46.64320,SAMBODRAMO ANHEMBI
3000.0,MEDIAS CASAS,CASA DE SHOWS,-23.57034,-46.60027,KOMPLEXO TEMPO
3000.0,MEDIAS CASAS,CASA DE SHOWS,-23.59208,-46.47236,ESPACO LESTE MUSIC
3000.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.5520,-46.6790,CENTRO DE CONVENCOES REBOUCAS
3000.0,MEDIAS CASAS,ESTADIO MULTIUSO,-23.5452934,-46.4742864,ARENA XP
3000.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.4521,-46.8434,EXPO ALPHAVILLE
3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.5237,-46.6551,AUDIO CLUB
3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968,AUDIO
3800.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.5538,-46.6493,CENTRO DE CONVENCOES FREI CANECA
4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.6383,-46.7203,TOKIO MARINE HALL
4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.602102,-46.687800,TOM BRASIL
4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.5160,-46.5070,ARENA SERTANEJA
5000.0,MEDIAS CASAS,CENTRO DE EVENTOS,-23.4764,-46.6865,CENTRO DE EVENTOS PRO MAGNO
5000.0,MEDIAS CASAS,CENTRO DE EVENTOS,-23.52699,-46.66954,EXPO BARRA FUNDA
5000.0,MEDIAS CASAS,CASA DE SHOWS,-23.4723,-46.6299,CENTRO DE TRADICOES NORDESTINAS
5000.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.6591,-46.6358,EXPO IMIGRANTES
5000.0,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,-23.5021,-46.7142,ARENA VILLA LOBOS
5000.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.5221,-46.6910,CENTRO DE EVENTOS ARCA
5000.0,MEDIAS CASAS,CENTRO DE EVENTOS,-23.6591,-46.6358,EXPO SAO PAULO
5000.0,MEDIAS CASAS,AREA EXTERNA PARA EVENTOS,-23.7073,-46.6943,ARENA INTERLAGOS
5000.0,MEDIAS CASAS,AREA EXTERNA PARA EVENTOS,-23.50318,-46.62131,PARQUE DA JUVENTUDE
