,artista,data,ano,nome_local,nome
0,Pitty,2021-01-15,2021,PRIVATE VENUE,PITTY
1,Nirvana Experience (ex-Hormoaning),2021-01-16,2021,RELICARIO ROCK BAR,NIRVANA EXPERIENCE (EX-HORMOANING)
2,Ivete Sangalo,2021-02-03,2021,CONVERSA COM BIAL,IVETE SANGALO
3,Pitty,2021-02-05,2021,PRIVATE VENUE,PITTY
4,Pabllo Vittar,2021-02-06,2021,ALTAS HORAS,PABLLO VITTAR
5,Pabllo Vittar,2021-02-12,2021,DOMINGAO DO FAUSTAO,PABLLO VITTAR
6,Pitty,2021-02-19,2021,PRIVATE VENUE,PITTY
7,Nirvana Experience (ex-Hormoaning),2021-02-20,2021,SANTA BREJA BAR,NIRVANA EXPERIENCE (EX-HORMOANING)
8,Rancore,2021-02-21,2021,HANGAR 110,RANCORE
9,Nirvana Experience (ex-Hormoaning),2021-02-26,2021,TON TON JAZZ BAR,NIRVANA EXPERIENCE (EX-HORMOANING)
10,Urias,2021-03-26,2021,FESTIVAL BIXANAGO,URIAS
11,Jerry Smith,2021-03-28,2021,PRIVATE VENUE,JERRY SMITH
12,Djonga,2021-03-29,2021,,DJONGA
13,Gabi Martins,2021-04-04,2021,THE HOUSE,GABI MARTINS
16,Sophia Chablau e Uma Enorme Perda de Tempo,2021-04-22,2021,ITAU CULTURAL,SOPHIA CHABLAU E UMA ENORME PERDA DE TEMPO
17,Majur,2021-04-23,2021,PRIVATE VENUE,MAJUR
18,Tulipa Ruiz,2021-04-25,2021,PRIVATE VENUE,TULIPA RUIZ
19,Edson & Hudson,2021-04-25,2021,PRIVATE VENUE,EDSON & HUDSON
20,Tulipa Ruiz,2021-05-01,2021,ESTUDIO BROCAL,TULIPA RUIZ
22,Nirvana Experience (ex-Hormoaning),2021-05-22,2021,ZELINA'S GARAGE,NIRVANA EXPERIENCE (EX-HORMOANING)
24,POCAH,2021-05-25,2021,ALTAS HORAS,POCAH
25,Luísa Sonza,2021-05-25,2021,ALTAS HORAS,LUISA SONZA
26,Marcio Lomiranda,2021-05-27,2021,OCA,MARCIO LOMIRANDA
27,Arthur Joly,2021-05-27,2021,OCA,ARTHUR JOLY
