,artista,data,ano,nome_local,nome,Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude
0,Aquiles Priester,2021-08-29,2021,TOM BRASIL,AQUILES PRIESTER,4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.602102,-46.687800
1,Zeca Baleiro,2021-10-02,2021,TOM BRASIL,ZECA BALEIRO,4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.602102,-46.687800
2,Vanessa da Mata,2021-10-23,2021,TOM BRASIL,VANESSA DA MATA,4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.602102,-46.687800
3,Ana Carolina,2021-11-06,2021,TOM BRASIL,ANA CAROLINA,4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.602102,-46.687800
4,Fabio Lione,2021-11-19,2021,TOM BRASIL,FABIO LIONE,4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.602102,-46.687800
5,Alirio Netto,2021-11-19,2021,TOM BRASIL,ALIRIO NETTO,4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.602102,-46.687800
6,Boate Azul Ao Vivo,2022-02-04,2022,TOM BRASIL,BOATE AZUL AO VIVO,4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.602102,-46.687800
7,Paulo Ricardo,2021-09-04,2021,AUDIO,PAULO RICARDO,3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968
8,Raquel,2021-10-15,2021,AUDIO,RAQUEL,3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968
9,Gab Ferreira,2021-11-03,2021,AUDIO,GAB FERREIRA,3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968
10,Terno Rei,2021-11-03,2021,AUDIO,TERNO REI,3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968
11,Terno Rei,2021-11-04,2021,AUDIO,TERNO REI,3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968
12,Yunk Vino,2021-12-10,2021,AUDIO,YUNK VINO,3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968
13,Recayd Mob,2021-12-10,2021,AUDIO,RECAYD MOB,3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968
