,artista,data,ano,nome_local,nome,Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,id_spotify,generos,popularidade,seguidores,imagem,fonte,festival,headliners
0,Taylor Swift,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False
1,Taylor Swift,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False
2,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False
3,Billie Eilish,2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,6qqNVTkY8uBg9cP3Jd7DAH,POP,92.0,119521349.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,GENRE_1,LOLLAPALOOZA,"BILLIE EILISH, LIL NAS X"
4,The Weeknd,2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False
5,The Weeknd,2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False
6,The Weeknd,2024-09-07,2024,MORUMBIS,THE WEEKND,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False
7,Bruno Mars,2023-09-03,2023,AUTODROMO DE INTERLAGOS,BRUNO MARS,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,THE TOWN,"BRUNO MARS, BEBE REXHA"
8,Bruno Mars,2023-09-10,2023,AUTODROMO DE INTERLAGOS,BRUNO MARS,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,THE TOWN,"BRUNO MARS, H.E.R"
9,Bruno Mars,2024-10-01,2024,TOKIO MARINE HALL,BRUNO MARS,4000.0,MEDIAS CASAS,CASA DE SHOWS,-23.6383,-46.7203,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False
