,nome,data,ano,nome_local,setor,preco,preco_medio,nome_setores
0,ZEZE DI CAMARGO & LUCIANO,2021-09-04,2021,ESPACO DAS AMERICAS,Pista,170.0,564.0,PISTA
1,OS PARALAMAS DO SUCESSO,2021-10-02,2021,ESPACO DAS AMERICAS,Pista,200.0,200.0,PISTA
2,FERNANDO & SOROCABA,2021-10-22,2021,VILLA COUNTRY,Pista,200.0,237.5,PISTA
3,MAIARA & MARAISA,2021-10-22,2021,VILLA COUNTRY,Pista,200.0,237.5,PISTA
4,FERNANDO & SOROCABA,2021-10-23,2021,VILLA COUNTRY,Pista,200.0,237.5,PISTA
5,MAIARA & MARAISA,2021-10-23,2021,VILLA COUNTRY,Pista,200.0,237.5,PISTA
6,VANESSA DA MATA,2021-10-23,2021,TOM BRASIL,Pista,198.0,198.0,PISTA
7,ZECA PAGODINHO,2021-11-12,2021,ESPACO DAS AMERICAS,Pista,210.0,307.5,PISTA
9,TITAS,2021-11-20,2021,ARENA ANHEMBI,Pista,180.0,326.6666666666667,PISTA
17,JOAO GOMES,2021-12-04,2021,ARENA ANHEMBI,Pista,550.0,622.5,PISTA
18,LEO SANTANA,2021-12-04,2021,ARENA ANHEMBI,Pista,550.0,622.5,PISTA
19,WESLEY SAFADAO,2021-12-04,2021,ARENA ANHEMBI,Pista,550.0,622.5,PISTA
20,ZE NETO & CRISTIANO,2021-12-04,2021,ARENA ANHEMBI,Pista,550.0,622.5,PISTA
21,IVETE SANGALO,2021-12-10,2021,ESPACO DAS AMERICAS,Pista,260.0,393.3333333333333,PISTA
24,HENRIQUE & JULIANO,2021-12-17,2021,ESTADIO DO CANINDE,Pista,250.0,570.0,PISTA
26,NANDO REIS,2021-12-23,2021,ESPACO DAS AMERICAS,Pista,130.0,195.0,PISTA
27,JORGE & MATEUS,2022-01-08,2022,EXPO CENTER NORTE,Pista,200.0,283.3333333333333,PISTA
28,PEDRO SAMPAIO,2022-01-08,2022,EXPO CENTER NORTE,Pista,200.0,283.3333333333333,PISTA
33,CALCINHA PRETA,2022-02-04,2022,CENTRO DE TRADICOES NORDESTINAS,Pista,200.0,200.0,PISTA
34,MARISA MONTE,2022-02-04,2022,ESPACO DAS AMERICAS,Pista,220.0,423.3333333333333,PISTA
35,OS BAROES DA PISADINHA,2022-02-04,2022,CENTRO DE TRADICOES NORDESTINAS,Pista,200.0,200.0,PISTA
39,MARISA MONTE,2022-02-05,2022,ESPACO DAS AMERICAS,Pista,220.0,423.3333333333333,PISTA
