nome,id_spotify,generos,popularidade,seguidores,imagem,fonte
KAROL G,790FomKkXshlbRYZFtlgla,"reggaeton, latin, urbano latino",88,60932975,https://i.scdn.co/image/ab6761610000e5eb66041ce9eb4497057cbc3496,nova consulta
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,,83,45831466,https://i.scdn.co/image/ab6761610000e5eb58b4b9419486550f6fda0535,nova consulta
Marília Mendonça,1yR65psqiazQpeM79CcGh8,"sertanejo, sertanejo universitário, arrocha, forró",79,38724422,https://i.scdn.co/image/ab6761610000e5eb82541986e1e91ecd556ef72c,nova consulta
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,"rock, glam metal, hard rock, classic rock",81,35487701,https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c,nova consulta
AC/DC,711MCceyCBcFnzjGY4Q7Un,"rock, hard rock, classic rock, rock and roll",82,32511106,https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37,nova consulta
Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,"sertanejo, sertanejo universitário, arrocha, agronejo",86,30491947,https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601,nova consulta
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,r&b,89,28665336,https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728,nova consulta
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,,79,27283542,https://i.scdn.co/image/ab6761610000e5eb42d7061876b87861d7c8f3fb,nova consulta
TWICE,7n2Ycct7Beij7Dj7meI4X0,k-pop,84,23568555,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864,nova consulta
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,"sertanejo, sertanejo universitário, agronejo, arrocha",80,22985794,https://i.scdn.co/image/ab6761610000e5ebc76b86b0ae0aec212d7eea0f,nova consulta
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,"progressive rock, psychedelic rock, classic rock, art rock, rock",81,22839284,https://i.scdn.co/image/ab6761610000e5eb97885ce689d644c91dfba05c,nova consulta
James Arthur,4IWBUUAFIplrNtaOHcJPRM,soft pop,81,20942728,https://i.scdn.co/image/ab6761610000e5eb5a55e66595e80fb12dc5f5fa,nova consulta
RM,2auC28zjQyVTsiZKNgPRGs,"k-pop, k-rap",72,17797238,https://i.scdn.co/image/ab6761610000e5eb847fe9bbfef3acf7981acd2a,nova consulta
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,,70,16211196,https://i.scdn.co/image/ab6761610000e5eb5acb3cb0a8b87d3952738b97,nova consulta
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,"classic rock, rock",77,16146027,https://i.scdn.co/image/ab6761610000e5ebc5733401b4689b2064458e7d,nova consulta
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,"classic rock, rock, hard rock, rock and roll",77,16060292,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e,nova consulta
ABBA,0LcJLqbBmaGUft1e9Mm8HV,,81,15024584,https://i.scdn.co/image/ab6761610000e5eb81a5ec3c9b4a6750440904d8,nova consulta
Maiara & Maraisa,59jlthNnbmim5l9tmNA7se,"sertanejo, sertanejo universitário, piseiro",72,14756977,https://i.scdn.co/image/ab6761610000e5eb1e6bb2217bfd6a497a908246,nova consulta
Slipknot,05fG473iIaoy82BF1aGhL8,"nu metal, metal, alternative metal, rap metal, heavy metal",79,14227101,https://i.scdn.co/image/ab6761610000e5ebd0cdb283a7384a0edb665182,nova consulta
