,data,ano,nome_local,nome,Categoria_Local,Tipo_Espaco,generos,popularidade,seguidores,festival,lotacao,setor,preco,preco_medio,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,distancia_dias_anterior
0,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Pista Premium,1050.0,632.0,VIP,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,999.0
1,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Inferior,750.0,632.0,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,0.0
2,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Inferior Visão Parcial,480.0,632.0,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,0.0
3,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Superior,500.0,632.0,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,0.0
4,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Superior Visão Parcial,380.0,632.0,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,0.0
5,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Pista Premium,1050.0,632.0,VIP,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,1.0
6,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Inferior,750.0,632.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,0.0
7,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Inferior Visão Parcial,480.0,632.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,0.0
8,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Superior,500.0,632.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,0.0
9,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Superior Visão Parcial,380.0,632.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,0.0
10,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Pista Premium,1050.0,632.0,VIP,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.0
11,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Inferior,750.0,632.0,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,0.0
12,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Inferior Visão Parcial,480.0,632.0,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,0.0
13,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Superior,500.0,632.0,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,0.0
14,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,100.0,146601270.0,False,50000.0,Cadeira Superior Visão Parcial,380.0,632.0,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,0.0
15,2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,POP,92.0,119521349.0,LOLLAPALOOZA,103350.0,Lolla Pista,1100.0,1706.6666666666667,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,-247.0
16,2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,POP,92.0,119521349.0,LOLLAPALOOZA,103350.0,Lolla Lounge,2250.0,1706.6666666666667,LUXO,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,0.0
17,2023-03-24,2023,AUTODROMO DE INTERLAGOS,BILLIE EILISH,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,POP,92.0,119521349.0,LOLLAPALOOZA,103350.0,Lolla Confort,1770.0,1706.6666666666667,VIP,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,0.0
18,2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,48000.0,Pista Premium,750.0,620.0,VIP,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,200.0
19,2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,48000.0,Cadeira Inferior,650.0,620.0,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,0.0
20,2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,48000.0,Cadeira Superior,460.0,620.0,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,0.0
21,2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,48000.0,Pista Premium,750.0,620.0,VIP,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.0
22,2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,48000.0,Cadeira Inferior,650.0,620.0,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,0.0
23,2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,48000.0,Cadeira Superior,460.0,620.0,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,0.0
24,2024-09-07,2024,MORUMBIS,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,64319.0,Pista Premium,700.0,710.0,VIP,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,332.0
25,2024-09-07,2024,MORUMBIS,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,64319.0,Cadeira Inferior,800.0,710.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.0
26,2024-09-07,2024,MORUMBIS,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,64319.0,Cadeira Superior,850.0,710.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.0
27,2024-09-07,2024,MORUMBIS,THE WEEKND,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,95.0,113983998.0,False,64319.0,Arquibancada,490.0,710.0,COMUM,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.0
28,2023-09-03,2023,AUTODROMO DE INTERLAGOS,BRUNO MARS,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,R&B,91.0,76055599.0,THE TOWN,100000.0,Pista,815.0,815.0,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO INTENSO,SETEMBRO,999.0
29,2023-09-10,2023,AUTODROMO DE INTERLAGOS,BRUNO MARS,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,R&B,91.0,76055599.0,THE TOWN,100000.0,Pista,815.0,815.0,COMUM,DOMINGO,FIM DE SEMANA,NUBLADO,SETEMBRO,7.0
30,2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,390.0
31,2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,0.0
32,2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,0.0
33,2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,0.0
34,2024-10-04,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,0.0
35,2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.0
36,2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,0.0
37,2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,0.0
38,2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,0.0
39,2024-10-05,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,0.0
40,2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80724.0,Pista,650.0,802.0,COMUM,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,3.0
41,2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80724.0,Pista Premium,1250.0,802.0,VIP,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,0.0
42,2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80724.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,0.0
43,2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80724.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,0.0
44,2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80724.0,Arquibancada,470.0,802.0,COMUM,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,0.0
45,2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.0
46,2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,0.0
47,2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,0.0
48,2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,0.0
49,2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,0.0
50,2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,3.0
51,2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,0.0
52,2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,0.0
53,2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,0.0
54,2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,0.0
55,2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.0
56,2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,0.0
57,2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,0.0
58,2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,0.0
59,2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,0.0
60,2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Pista,590.0,702.5,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,-547.0
61,2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Pista Premium,980.0,702.5,VIP,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,0.0
62,2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Cadeira Inferior,750.0,702.5,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,0.0
63,2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Cadeira Superior,490.0,702.5,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,0.0
64,2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Pista,590.0,702.5,COMUM,SABADO,FIM DE SEMANA,CHUVA MODERADA,MARÇO,1.0
65,2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Pista Premium,980.0,702.5,VIP,SABADO,FIM DE SEMANA,CHUVA MODERADA,MARÇO,0.0
66,2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Cadeira Inferior,750.0,702.5,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVA MODERADA,MARÇO,0.0
67,2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Cadeira Superior,490.0,702.5,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVA MODERADA,MARÇO,0.0
68,2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Pista,590.0,702.5,COMUM,SEGUNDA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,2.0
69,2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Pista Premium,980.0,702.5,VIP,SEGUNDA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,0.0
70,2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Cadeira Inferior,750.0,702.5,INTERMEDIARIO,SEGUNDA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,0.0
71,2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Cadeira Superior,490.0,702.5,INTERMEDIARIO,SEGUNDA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,0.0
