ano,Categoria_Local,Tipo_Espaco,generos,popularidade,seguidores,lotacao,preco_medio,dia_semana,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2023,MEDIAS CASAS,CASA DE SHOWS,ROCK,79.0,10256384.0,8000.0,635.0,TERCA-FEIRA,DIA UTIL,JULHO,-11.5,14.0
2022,MEDIAS CASAS,CASA DE SHOWS,METALCORE,69.0,2525628.0,3200.0,467.0,QUINTA-FEIRA,DIA UTIL,MARÇO,-81.5,0.0
2022,MEDIAS CASAS,CASA DE SHOWS,NEW WAVE,72.0,2940118.0,8000.0,466.6666666666667,SEGUNDA-FEIRA,DIA UTIL,JULHO,-167.66666666666666,Outros
2022,MEDIAS CASAS,CASA DE SHOWS,NEW WAVE,72.0,2940118.0,8000.0,466.6666666666667,TERCA-FEIRA,DIA UTIL,JULHO,0.3333333333333333,Outros
2025,MEDIAS CASAS,CASA DE SHOWS,J-POP,76.0,6797031.0,8000.0,710.0,QUARTA-FEIRA,DIA UTIL,AGOSTO,333.0,Outros
2023,MEDIAS CASAS,CASA DE SHOWS,K-POP,77.0,9877137.0,8000.0,807.5,SEGUNDA-FEIRA,DIA UTIL,SETEMBRO,-143.25,9.0
2022,MEDIAS CASAS,CASA DE SHOWS,SOFT ROCK,71.0,5350736.0,6000.0,765.0,DOMINGO,FIM DE SEMANA,OUTUBRO,-174.5,Outros
2024,MEDIAS CASAS,CASA DE SHOWS,SOFT ROCK,71.0,5350736.0,7500.0,695.0,DOMINGO,FIM DE SEMANA,ABRIL,138.25,Outros
2022,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,0,62.0,283349.0,34000.0,440.0,SEXTA-FEIRA,DIA UTIL,JUNHO,-651.0,3.0
2024,MEDIAS CASAS,CASA DE SHOWS,0,62.0,283349.0,3000.0,140.0,SEXTA-FEIRA,FERIADO NACIONAL,MARÇO,216.33333333333334,3.0
2023,ARENAS E ESTADIOS,ESTADIO MULTIUSO,ROCK,68.0,3188985.0,50000.0,600.0,TERCA-FEIRA,DIA UTIL,NOVEMBRO,-125.25,14.0
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,64.0,1946704.0,7452.542372881356,160.0,SABADO,FIM DE SEMANA,NOVEMBRO,-357.0,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,64.0,1946704.0,7200.0,726.6666666666666,QUINTA-FEIRA,DIA UTIL,ABRIL,53.0,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,64.0,1946704.0,3000.0,410.0,SABADO,FIM DE SEMANA,NOVEMBRO,206.5,11.0
2024,MEDIAS CASAS,CASA DE SHOWS,SAMBA,62.0,1221737.0,6900.0,313.3333333333333,SEXTA-FEIRA,DIA UTIL,MARÇO,-93.66666666666667,5.0
2025,MEDIAS CASAS,CASA DE SHOWS,SAMBA,62.0,1221737.0,8000.0,220.0,SABADO,FIM DE SEMANA,MARÇO,94.75,5.0
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,BRAZILIAN TRAP,70.0,354116.0,20000.0,110.0,SEXTA-FEIRA,DIA UTIL,NOVEMBRO,-0.5,8.0
2023,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,79.0,12961355.0,50000.0,782.0,SEXTA-FEIRA,DIA UTIL,MAIO,-119.4,2.0
2022,MEDIAS CASAS,CENTRO DE EVENTOS,BRAZILIAN BASS,77.0,11247825.0,3000.0,390.0,SEGUNDA-FEIRA,DIA UTIL,FEVEREIRO,-552.0,8.0
2023,MEDIAS CASAS,CENTRO DE EVENTOS,BRAZILIAN BASS,77.0,11247825.0,4000.0,495.0,SEGUNDA-FEIRA,DIA UTIL,FEVEREIRO,178.5,8.0
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,BRAZILIAN BASS,77.0,11247825.0,25000.0,395.0,SABADO,FIM DE SEMANA,JUNHO,214.75,8.0
2023,MEDIAS CASAS,CASA DE SHOWS,POST-GRUNGE,62.0,1239932.0,7800.0,450.0,QUARTA-FEIRA,DIA UTIL,NOVEMBRO,333.0,Outros
2023,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,SERTANEJO,80.0,9573728.0,90000.0,258.0,SABADO,FIM DE SEMANA,AGOSTO,-145.6,10.0
2025,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,SERTANEJO,80.0,9573728.0,40000.0,656.6666666666666,SABADO,FIM DE SEMANA,AGOSTO,46.666666666666664,10.0
2025,MEDIAS CASAS,CASA DE SHOWS,SERTANEJO,80.0,9573728.0,8500.0,210.0,SABADO,FIM DE SEMANA,OUTUBRO,261.3333333333333,10.0
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,72.0,7470640.0,8000.0,243.33333333333334,QUINTA-FEIRA,DIA UTIL,JUNHO,-31.333333333333332,11.0
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,72.0,7470640.0,3850.0,290.0,DOMINGO,FIM DE SEMANA,SETEMBRO,-38.8,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,72.0,7470640.0,7000.0,196.66666666666663,DOMINGO,FIM DE SEMANA,DEZEMBRO,180.66666666666666,11.0
2025,MEDIAS CASAS,CASA DE SHOWS,MPB,72.0,7470640.0,8000.0,193.33333333333334,SEXTA-FEIRA,DIA UTIL,JUNHO,183.66666666666666,11.0
2025,MEDIAS CASAS,CASA DE SHOWS,MPB,72.0,7470640.0,8000.0,193.33333333333334,SABADO,FIM DE SEMANA,OUTUBRO,40.0,11.0
2025,MEDIAS CASAS,CASA DE SHOWS,MPB,72.0,7470640.0,8000.0,193.33333333333334,DOMINGO,FIM DE SEMANA,OUTUBRO,0.3333333333333333,11.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,OPERA,71.0,3217698.0,31000.0,2845.0,SABADO,FIM DE SEMANA,MAIO,333.0,Outros
