,artista,data,ano,nome_local,nome,Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,id_spotify,generos,popularidade,seguidores,imagem,fonte,festival,headliners,lotacao,setor,preco,preco_medio,nome_setores,Setor_id,Nome_Setor,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,lotacao_pct
0,Taylor Swift,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Pista Premium,1050.0,632.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,1.1111111111111112
1,Taylor Swift,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Inferior,750.0,632.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,1.1111111111111112
2,Taylor Swift,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Inferior Visão Parcial,480.0,632.0,CADEIRA INFERIOR VISAO PARCIAL,S005,CADEIRA INFERIOR VISAO PARCIAL,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,1.1111111111111112
3,Taylor Swift,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Superior,500.0,632.0,CADEIRA SUPERIOR,S006,CADEIRA SUPERIOR,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,1.1111111111111112
4,Taylor Swift,2023-11-24,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Superior Visão Parcial,380.0,632.0,CADEIRA SUPERIOR VISAO PARCIAL,S007,CADEIRA SUPERIOR VISAO PARCIAL,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVA LEVE,NOVEMBRO,1.1111111111111112
5,Taylor Swift,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Pista Premium,1050.0,632.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,1.1111111111111112
6,Taylor Swift,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Inferior,750.0,632.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,1.1111111111111112
7,Taylor Swift,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Inferior Visão Parcial,480.0,632.0,CADEIRA INFERIOR VISAO PARCIAL,S005,CADEIRA INFERIOR VISAO PARCIAL,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,1.1111111111111112
8,Taylor Swift,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Superior,500.0,632.0,CADEIRA SUPERIOR,S006,CADEIRA SUPERIOR,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,1.1111111111111112
9,Taylor Swift,2023-11-25,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Superior Visão Parcial,380.0,632.0,CADEIRA SUPERIOR VISAO PARCIAL,S007,CADEIRA SUPERIOR VISAO PARCIAL,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,NOVEMBRO,1.1111111111111112
10,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Pista Premium,1050.0,632.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.1111111111111112
11,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Inferior,750.0,632.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.1111111111111112
12,Taylor Swift,2023-11-26,2023,ALLIANZ PARQUE,TAYLOR SWIFT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,06HL4z0CvFAxyc27GXpf02,POP,100.0,146601270.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,GENRE_1,False,False,50000.0,Cadeira Inferior Visão Parcial,480.0,632.0,CADEIRA INFERIOR VISAO PARCIAL,S005,CADEIRA INFERIOR VISAO PARCIAL,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO MODERADO,NOVEMBRO,1.1111111111111112
